,Concurso,Jogo,HG,Home,S,Away,AG,Dia,Res,HRG,ARG
4785,Concurso 342 (08/12/2008),12,3,FIGUEIRENSE/SC, ,INTERNACIONAL/RS,1,Domingo ,H,40,20
4786,Concurso 342 (08/12/2008),13,4,CRUZEIRO/MG, ,PORTUGUESA DESPORTOS/SP,1,Domingo ,H,39,23
4787,Concurso 342 (08/12/2008),14,0,PALMEIRAS/SP, ,BOTAFOGO/RJ,1,Domingo ,A,42,25
4788,Concurso 343 (15/12/2008),1,3,BELÉM/PA, ,TUNA LUSO/PA,2,Domingo ,H,4,24
4789,Concurso 343 (15/12/2008),2,2,GRÊMIO/RS - SUB 20, ,CORITIBA/PR - SUB 20,2,Domingo ,D,0,0
4790,Concurso 343 (15/12/2008),3,5,JUVENTUDE/RS - SUB 20, ,SANTOS SUB 20/SP,0,Sábado ,H,0,0
4791,Concurso 343 (15/12/2008),4,0,FIGUEIRENSE/SC - SUB 20, ,PALMEIRAS/SP - SUB 20,0,Domingo ,D,0,0
4792,Concurso 343 (15/12/2008),5,0,ATLÉTICO/PR - SUB 20, ,FLAMENGO/RJ SUB 20,0,Sábado ,D,0,0
4793,Concurso 343 (15/12/2008),6,3,NÁUTICO/PE - SUB 20, ,BOTAFOGO/RJ - SUB 20,0,Domingo ,H,0,0
4794,Concurso 343 (15/12/2008),7,5,PINHEIRENSE/PA, ,PEDREIRA/PA,2,Sábado ,H,0,2
4795,Concurso 343 (15/12/2008),8,0,VILA RICA/PA, ,TIME NEGRA/PA,0,Domingo ,D,2,1
4796,Concurso 343 (15/12/2008),9,1,BRAGANTINO/PA, ,CASTANHAL/PA,2,Sábado ,A,6,10
4797,Concurso 343 (15/12/2008),10,5,AMÉRICA TEÓFILO OTONI/MG, ,SANTARRITENSE / MG,1,Domingo ,H,4,0
4798,Concurso 343 (15/12/2008),11,2,TRICORDIANO / MG, ,GUAXUPÉ/MG,1,Domingo ,H,0,0
4799,Concurso 343 (15/12/2008),12,0,PORTUGUESA DESPORTOS/SP - SUB 20, ,SPORT/PE - SUB 20,3,Sábado ,A,0,0
4800,Concurso 343 (15/12/2008),13,2,VITÓRIA/BA - SUB 20, ,GOIÁS/GO - SUB 20,2,Sábado ,D,0,0
4801,Concurso 343 (15/12/2008),14,0,ATLÉTICO SUB 20/MG, ,IPATINGA/MG - SUB 20,2,Domingo ,A,0,0
4802,Concurso 344 (05/01/2009),1,5,SÃO PAULO/SP JÚNIOR, ,CEARÁ/CE JÚNIOR,0,Sábado ,H,8,0
4803,Concurso 344 (05/01/2009),2,4,GRÊMIO/RS JÚNIOR, ,PORTUGUESA DESPORTOS/SP JÚNIOR,3,Domingo ,H,14,3
4804,Concurso 344 (05/01/2009),3,2,VITÓRIA/BA JÚNIOR, ,FORTALEZA/CE JÚNIOR,3,Domingo ,A,9,5
4805,Concurso 344 (05/01/2009),4,2,CRB/AL JÚNIOR, ,LONDRINA/PR JÚNIOR,0,Domingo ,H,0,3
4806,Concurso 344 (05/01/2009),5,4,VILA NOVA/GO JÚNIOR, ,PARANÁ/PR JÚNIOR,2,Domingo ,H,0,3
4807,Concurso 344 (05/01/2009),6,0,ATLÉTICO/PR JÚNIOR, ,PORTO/PE JÚNIOR,0,Domingo ,D,0,0
4808,Concurso 344 (05/01/2009),7,1,BRASILIENSE/DF JÚNIOR, ,GUARANI/SP JÚNIOR,1,Domingo ,D,0,2
4809,Concurso 344 (05/01/2009),8,3,INTERNACIONAL/RS JÚNIOR, ,NOROESTE/SP JÚNIOR,1,Domingo ,H,10,2
4810,Concurso 344 (05/01/2009),9,1,UNIÃO SÃO JOÃO/SP JÚNIOR, ,BOTAFOGO/SP JÚNIOR,0,Domingo ,H,3,0
4811,Concurso 344 (05/01/2009),10,1,AVAÍ/SC JÚNIOR, ,AMÉRICA/MG JÚNIOR,2,Domingo ,A,0,0
4812,Concurso 344 (05/01/2009),11,4,VASCO DA GAMA/RJ JÚNIOR, ,MOGI MIRIM/SP JÚNIOR,1,Sábado ,H,4,0
4813,Concurso 344 (05/01/2009),12,2,FIGUEIRENSE/SC JÚNIOR, ,MARÍLIA/SP JÚNIOR,0,Domingo ,H,0,3
4814,Concurso 344 (05/01/2009),13,1,JUVENTUDE/RS JÚNIOR, ,SÃO CAETANO/SP JÚNIOR,0,Domingo ,H,0,3
4815,Concurso 344 (05/01/2009),14,1,FLAMENGO/RJ JÚNIOR, ,UNIÃO BARBARENSE/SP JÚNIOR,1,Domingo ,D,5,0
4816,Concurso 345 (12/01/2009),1,2,CEARÁ/CE, ,QUIXADÁ/CE,1,Sábado ,H,29,1
4817,Concurso 345 (12/01/2009),2,1,RIO BRANCO/ES, ,DESPORTIVA/ES,0,Domingo ,H,5,2
4818,Concurso 345 (12/01/2009),3,4,FORTALEZA/CE, ,ITAPIPOCA/CE,1,Domingo ,H,44,3
4819,Concurso 345 (12/01/2009),4,2,NÁUTICO/PE, ,CABENSE/PE,2,Domingo ,D,34,0
4820,Concurso 345 (12/01/2009),5,1,VILAVELHENSE/ES, ,JAGUARÉ/ES,5,Domingo ,A,1,0
4821,Concurso 345 (12/01/2009),6,1,CENTRAL/PE, ,SALGUEIRO/PE,2,Domingo ,A,3,0
4822,Concurso 345 (12/01/2009),7,0,FERROVIÁRIO/CE, ,HORIZONTE/CE,3,Domingo ,A,8,0
4823,Concurso 345 (12/01/2009),8,1,LINHARES/ES, ,SÃO MATEUS/ES,2,Domingo ,A,0,1
4824,Concurso 345 (12/01/2009),9,1,ICASA/CE, ,BOA VIAGEM/CE,2,Domingo ,A,7,3
4825,Concurso 345 (12/01/2009),10,3,RIO BRANCO/SP JÚNIOR, ,ATLÉTICO/MG JÚNIOR,0,Domingo ,H,7,0
4826,Concurso 345 (12/01/2009),11,2,FERROVIÁRIA/SP JÚNIOR, ,PALMEIRAS/SP JÚNIOR,3,Domingo ,A,2,8
4827,Concurso 345 (12/01/2009),12,4,TABOÃO DA SERRA/SP JÚNIOR, ,VITÓRIA/BA JÚNIOR,2,Domingo ,H,0,1
4828,Concurso 345 (12/01/2009),13,0,JACAREÍ/SP JÚNIOR, ,ATLÉTICO/PR JÚNIOR,10,Domingo ,A,0,2
4829,Concurso 345 (12/01/2009),14,0,SÃO CARLOS/SP JÚNIOR, ,CORINTHIANS/SP JÚNIOR,1,Sábado ,A,1,12
4830,Concurso 346 (19/01/2009),1,2,NÁUTICO/PE, ,SALGUEIRO/PE,2,Sábado ,D,32,2
4831,Concurso 346 (19/01/2009),2,1,BOA VIAGEM/CE, ,FORTALEZA/CE,2,Sábado ,A,3,16
4832,Concurso 346 (19/01/2009),3,1,ITABUNA/BA, ,BAHIA/BA,1,Domingo ,D,4,30
4833,Concurso 346 (19/01/2009),4,2,NACIONAL/PB, ,BOTAFOGO/PB,1,Domingo ,H,1,7
4834,Concurso 346 (19/01/2009),5,3,JOINVILLE/SC, ,CRICIÚMA/SC,2,Domingo ,H,35,19
4835,Concurso 346 (19/01/2009),6,3,BRASILIENSE/DF, ,LUZIÂNIA/GO,0,Domingo ,H,29,0
4836,Concurso 346 (19/01/2009),7,3,MARANGUAPE/CE, ,ICASA/CE,2,Sábado ,H,7,0
4837,Concurso 346 (19/01/2009),8,2,SANTA CRUZ/PE, ,CENTRAL/PE,1,Domingo ,H,27,3
4838,Concurso 346 (19/01/2009),9,1,FERROVIÁRIO/CE, ,CEARÁ/CE,1,Domingo ,D,8,28
4839,Concurso 346 (19/01/2009),10,1,GAMA/DF, ,BRAZLANDIA/DF,0,Domingo ,H,27,0
4840,Concurso 346 (19/01/2009),11,3,VITÓRIA/BA, ,ATLÉTICO/BA,0,Domingo ,H,39,0
4841,Concurso 346 (19/01/2009),12,1,CEILÂNDIA/DF, ,LEGIÃO/DF,0,Domingo ,H,16,2
4842,Concurso 346 (19/01/2009),13,4,SOUSA/PB, ,TREZE/PB,0,Domingo ,H,6,4
4843,Concurso 346 (19/01/2009),14,1,METROPOLITANO/SC, ,MARCÍLIO DIAS/SC,1,Domingo ,D,3,3
4844,Concurso 347 (26/01/2009),1,0,PORTUGUESA DESPORTOS/SP, ,SÃO PAULO/SP,2,Domingo ,A,31,27
4845,Concurso 347 (26/01/2009),2,1,FLAMENGO/RJ, ,FRIBURGUENSE/RJ,0,Domingo ,H,38,7
4846,Concurso 347 (26/01/2009),3,5,GRÊMIO/RS, ,ESPORTIVO/RS,0,Sábado ,H,33,1
4847,Concurso 347 (26/01/2009),4,3,CABOFRIENSE/RJ, ,FLUMINENSE/RJ,1,Domingo ,H,7,31
4848,Concurso 347 (26/01/2009),5,1,UBERLÂNDIA/MG, ,CRUZEIRO/MG,2,Domingo ,A,0,30
4849,Concurso 347 (26/01/2009),6,0,ITUMBIARA/GO, ,GOIÁS/GO,0,Domingo ,D,12,26
4850,Concurso 347 (26/01/2009),7,1,NOROESTE/SP, ,SANTOS/SP,2,Domingo ,A,16,12
4851,Concurso 347 (26/01/2009),8,0,RIO BRANCO/PR, ,ATLÉTICO/PR,3,Domingo ,A,2,12
4852,Concurso 347 (26/01/2009),9,3,PALMEIRAS/SP, ,MOGI MIRIM/SP,0,Sábado ,H,40,13
4853,Concurso 347 (26/01/2009),10,1,BOAVISTA/RJ, ,BOTAFOGO/RJ,2,Sábado ,A,2,24
4854,Concurso 347 (26/01/2009),11,0,ITABUNA/BA, ,ATLÉTICO/BA,1,Domingo ,A,5,0
4855,Concurso 347 (26/01/2009),12,0,VASCO DA GAMA/RJ, ,AMERICANO/RJ,2,Sábado ,A,38,13
4856,Concurso 347 (26/01/2009),13,0,ATLÉTICO/MG, ,AMÉRICA/MG,0,Domingo ,D,31,14
4857,Concurso 347 (26/01/2009),14,0,BRAGANTINO/SP, ,CORINTHIANS/SP,1,Domingo ,A,13,33
4858,Concurso 348 (02/02/2009),1,0,CORITIBA/PR, ,ATLÉTICO/PR,0,Domingo ,D,34,15
4859,Concurso 348 (02/02/2009),2,2,PONTE PRETA/SP, ,PALMEIRAS/SP,3,Domingo ,A,36,22
4860,Concurso 348 (02/02/2009),3,0,VOLTA REDONDA/RJ, ,FLAMENGO/RJ,1,Domingo ,A,14,28
4861,Concurso 348 (02/02/2009),4,2,ITUANO/SP, ,SANTOS/SP,0,Domingo ,H,26,14
4862,Concurso 348 (02/02/2009),5,0,METROPOLITANO/SC, ,FIGUEIRENSE/SC,0,Domingo ,D,4,24
4863,Concurso 348 (02/02/2009),6,2,TUPI/MG, ,ATLÉTICO/MG,2,Sábado ,D,8,22
4864,Concurso 348 (02/02/2009),7,1,APARECIDENSE/GO, ,VILA NOVA/GO,0,Domingo ,H,1,36
4865,Concurso 348 (02/02/2009),8,1,JUVENTUDE/RS, ,SANTA CRUZ/RS,0,Sábado ,H,28,3
4866,Concurso 348 (02/02/2009),9,1,NOROESTE/SP, ,PORTUGUESA DESPORTOS/SP,2,Domingo ,A,17,24
4867,Concurso 348 (02/02/2009),10,2,VITÓRIA DA CONQUISTA/BA, ,ATLÉTICO/BA,0,Domingo ,H,0,1
4868,Concurso 348 (02/02/2009),11,3,VASCO DA GAMA/RJ, ,DUQUE DE CAXIAS/RJ,1,Sábado ,H,36,1
4869,Concurso 348 (02/02/2009),12,2,NÁUTICO/PE, ,SANTA CRUZ/PE,2,Domingo ,D,33,11
4870,Concurso 348 (02/02/2009),13,1,GAMA/DF, ,BRASILIENSE/DF,1,Domingo ,D,26,20
4871,Concurso 348 (02/02/2009),14,1,FORTALEZA/CE, ,CEARÁ/CE,2,Domingo ,A,45,29
4872,Concurso 349 (09/02/2009),1,4,PALMEIRAS/SP, ,SANTOS/SP,1,Domingo ,H,42,14
4873,Concurso 349 (09/02/2009),2,0,FLUMINENSE/RJ, ,VASCO DA GAMA/RJ,0,Domingo ,D,29,17
4874,Concurso 349 (09/02/2009),3,2,VILLA NOVA/MG, ,CRUZEIRO/MG,3,Domingo ,A,13,32
4875,Concurso 349 (09/02/2009),4,1,GRÊMIO/RS, ,INTERNACIONAL/RS,2,Domingo ,A,34,18
4876,Concurso 349 (09/02/2009),5,0,VITÓRIA/BA, ,BAHIA/BA,2,Domingo ,A,38,30
4877,Concurso 349 (09/02/2009),6,1,SANTA CRUZ/PE, ,SPORT/PE,1,Domingo ,D,29,15
4878,Concurso 349 (09/02/2009),7,1,BOTAFOGO/SP, ,SÃO PAULO/SP,2,Domingo ,A,10,29
4879,Concurso 349 (09/02/2009),8,2,GUARANI/SP, ,PONTE PRETA/SP,2,Domingo ,D,32,25
4880,Concurso 349 (09/02/2009),9,1,CORINTHIANS/SP, ,PORTUGUESA DESPORTOS/SP,1,Sábado ,D,36,24
4881,Concurso 349 (09/02/2009),10,0,AVAÍ/SC, ,JOINVILLE/SC,0,Domingo ,D,29,17
4882,Concurso 349 (09/02/2009),11,2,REMO/PA, ,PAYSANDU/PA,2,Domingo ,D,36,22
4883,Concurso 349 (09/02/2009),12,1,PARANÁ/PR, ,LONDRINA/PR,2,Domingo ,A,21,4
4884,Concurso 349 (09/02/2009),13,1,VILA NOVA/GO, ,GOIÁS/GO,6,Domingo ,A,29,26
4885,Concurso 349 (09/02/2009),14,4,BOTAFOGO/RJ, ,BANGU/RJ,1,Domingo ,H,30,11
4886,Concurso 350 (16/02/2009),1,1,SÃO PAULO/SP, ,CORINTHIANS/SP,1,Domingo ,D,37,33
4887,Concurso 350 (16/02/2009),2,1,BOTAFOGO/RJ, ,FLAMENGO/RJ,1,Domingo ,D,33,27
4888,Concurso 350 (16/02/2009),3,2,CRUZEIRO/MG, ,ATLÉTICO/MG,1,Domingo ,H,42,24
4889,Concurso 350 (16/02/2009),4,2,SPORT/PE, ,NÁUTICO/PE,0,Domingo ,H,33,25
4890,Concurso 350 (16/02/2009),5,1,VILA NOVA/GO, ,ATLÉTICO/GO,1,Domingo ,D,29,19
4891,Concurso 350 (16/02/2009),6,4,CRICIÚMA/SC, ,FIGUEIRENSE/SC,1,Domingo ,H,38,23
4892,Concurso 350 (16/02/2009),7,0,BRAZLANDIA/DF, ,BRASILIENSE/DF,3,Domingo ,A,3,21
4893,Concurso 350 (16/02/2009),8,1,VILLA NOVA/MG, ,AMÉRICA/MG,1,Domingo ,D,15,14
4894,Concurso 350 (16/02/2009),9,2,CASTANHAL/PA, ,REMO/PA,1,Domingo ,H,6,30
4895,Concurso 350 (16/02/2009),10,2,LONDRINA/PR, ,CASCAVEL/PR,2,Sábado ,D,10,0
4896,Concurso 350 (16/02/2009),11,1,AVENIDA/RS, ,GRÊMIO/RS,2,Domingo ,A,0,30
4897,Concurso 350 (16/02/2009),12,0,MADUREIRA/RJ, ,VASCO DA GAMA/RJ,3,Domingo ,A,16,16
4898,Concurso 350 (16/02/2009),13,2,PONTE PRETA/SP, ,SÃO CAETANO/SP,1,Domingo ,H,37,22
4899,Concurso 350 (16/02/2009),14,3,SANTOS/SP, ,GUARANI/SP,1,Domingo ,H,39,23
4900,Concurso 351 (25/02/2009),1,2,PORTUGUESA DESPORTOS/SP, ,PALMEIRAS/SP,2,Sábado ,D,30,22
4901,Concurso 351 (25/02/2009),2,1,BARUERI/SP, ,SÃO PAULO/SP,3,Sábado ,A,23,29
4902,Concurso 351 (25/02/2009),3,2,ATLÉTICO/PR, ,PARANÁ/PR,1,Domingo ,H,33,20
4903,Concurso 351 (25/02/2009),4,1,CRAC/GO, ,GOIÁS/GO,1,Sábado ,D,11,32
4904,Concurso 351 (25/02/2009),5,2,CRICIÚMA/SC, ,JOINVILLE/SC,3,Sábado ,A,39,17
4905,Concurso 351 (25/02/2009),6,2,UBERABA/MG, ,CRUZEIRO/MG,2,Sábado ,D,0,33
4906,Concurso 351 (25/02/2009),7,2,ITUMBIARA/GO, ,ANAPOLINA/GO,2,Sábado ,D,12,15
4907,Concurso 351 (25/02/2009),8,0,ATLÉTICO/GO, ,MINEIROS/GO,0,Sábado ,D,29,0
4908,Concurso 351 (25/02/2009),9,0,LUZIÂNIA/GO, ,BRASILIENSE/DF,2,Sábado ,A,0,24
4909,Concurso 351 (25/02/2009),10,1,BRAZLANDIA/DF, ,GAMA/DF,5,Sábado ,A,3,24
4910,Concurso 351 (25/02/2009),11,2,ATLÉTICO/MG, ,RIO BRANCO/MG,0,Sábado ,H,27,2
4911,Concurso 351 (25/02/2009),12,2,SANTO ANDRÉ/SP, ,GUARANI/SP,0,Sábado ,H,25,24
4912,Concurso 351 (25/02/2009),13,1,GUARATINGUETÁ/SP, ,CORINTHIANS/SP,3,Sábado ,A,9,33
4913,Concurso 351 (25/02/2009),14,1,SANTOS/SP, ,BOTAFOGO/SP,0,Domingo ,H,42,3
4914,Concurso 352 (02/03/2009),1,1,SANTOS/SP, ,SÃO PAULO/SP,0,Domingo ,H,41,30
4915,Concurso 352 (02/03/2009),2,1,PALMEIRAS/SP, ,GUARANI/SP,0,Sábado ,H,44,24
4916,Concurso 352 (02/03/2009),3,4,CRUZEIRO/MG, ,ITUIUTABA/MG,1,Domingo ,H,43,3
4917,Concurso 352 (02/03/2009),4,2,COLO COLO/BA, ,BAHIA/BA,0,Domingo ,H,6,31
4918,Concurso 352 (02/03/2009),5,2,ATLÉTICO/PR, ,IRATY/PR,1,Domingo ,H,34,5
4919,Concurso 352 (02/03/2009),6,3,TOLEDO/PR, ,PARANÁ/PR,5,Domingo ,A,2,17
4920,Concurso 352 (02/03/2009),7,3,GOIÁS/GO, ,ANÁPOLIS/GO,2,Sábado ,H,42,2
4921,Concurso 352 (02/03/2009),8,2,FIGUEIRENSE/SC, ,JOINVILLE/SC,4,Domingo ,A,41,20
4922,Concurso 352 (02/03/2009),9,5,CHAPECOENSE/SC, ,AVAÍ/SC,1,Domingo ,H,17,36
4923,Concurso 352 (02/03/2009),10,5,VITÓRIA/BA, ,ITABUNA/BA,1,Domingo ,H,32,2
4924,Concurso 352 (02/03/2009),11,1,GAMA/DF, ,DOM PEDRO/DF,1,Domingo ,D,26,0
4925,Concurso 352 (02/03/2009),12,4,ATLÉTICO/MG, ,UBERLÂNDIA/MG,0,Sábado ,H,27,2
4926,Concurso 352 (02/03/2009),13,2,BARUERI/SP, ,PORTUGUESA DESPORTOS/SP,1,Sábado ,H,24,23
4927,Concurso 352 (02/03/2009),14,1,MARÍLIA/SP, ,CORINTHIANS/SP,1,Domingo ,D,33,36
4928,Concurso 353 (09/03/2009),1,1,PALMEIRAS/SP, ,CORINTHIANS/SP,1,Domingo ,D,42,35
4929,Concurso 353 (09/03/2009),2,3,SANTA CRUZ/RS, ,GRÊMIO/RS,2,Domingo ,H,7,32
4930,Concurso 353 (09/03/2009),3,1,GOIÁS/GO, ,VILA NOVA/GO,0,Domingo ,H,42,35
4931,Concurso 353 (09/03/2009),4,4,AVAÍ/SC, ,CRICIÚMA/SC,0,Sábado ,H,27,19
4932,Concurso 353 (09/03/2009),5,4,INTERNACIONAL/RS, ,VERANÓPOLIS/RS,0,Sábado ,H,41,3
4933,Concurso 353 (09/03/2009),6,2,SANTA CRUZ/PE, ,PORTO/PE,0,Domingo ,H,29,0
4934,Concurso 353 (09/03/2009),7,4,BRASILIENSE/DF, ,GAMA/DF,0,Sábado ,H,31,28
4935,Concurso 353 (09/03/2009),8,1,VILA RICA/PA, ,PAYSANDU/PA,2,Domingo ,A,2,22
4936,Concurso 353 (09/03/2009),9,1,SÃO RAIMUNDO/PA, ,REMO/PA,1,Domingo ,D,5,29
4937,Concurso 353 (09/03/2009),10,3,ATLÉTICO/PR, ,LONDRINA/PR,0,Sábado ,H,32,6
4938,Concurso 353 (09/03/2009),11,1,CRAC/GO, ,ATLÉTICO/GO,2,Domingo ,A,12,20
4939,Concurso 353 (09/03/2009),12,3,VILLA NOVA/MG, ,GUARANI/MG,1,Domingo ,H,16,1
4940,Concurso 353 (09/03/2009),13,1,PORTUGUESA DESPORTOS/SP, ,PONTE PRETA/SP,0,Domingo ,H,31,25
4941,Concurso 353 (09/03/2009),14,2,MOGI MIRIM/SP, ,SÃO PAULO/SP,0,Domingo ,H,22,30
4942,Concurso 354 (16/03/2009),1,0,CABOFRIENSE/RJ, ,BOTAFOGO/RJ,4,Domingo ,A,10,23
4943,Concurso 354 (16/03/2009),2,0,SANTO ANDRE/SP, ,CORINTHIANS/SP,0,Domingo ,D,13,35
4944,Concurso 354 (16/03/2009),3,0,AMÉRICA/MG, ,CRUZEIRO/MG,0,Domingo ,D,26,33
4945,Concurso 354 (16/03/2009),4,1,CEARÁ/CE, ,FERROVIÁRIO/CE,4,Domingo ,A,31,18
4946,Concurso 354 (16/03/2009),5,1,AVAÍ/SC, ,FIGUEIRENSE/SC,1,Domingo ,D,30,23
4947,Concurso 354 (16/03/2009),6,3,CHAPECOENSE/SC, ,CRICIÚMA/SC,0,Sábado ,H,22,18
4948,Concurso 354 (16/03/2009),7,1,LEGIÃO/DF, ,BRASILIENSE/DF,2,Domingo ,A,1,25
4949,Concurso 354 (16/03/2009),8,0,POÇÕES/BA, ,BAHIA/BA,2,Domingo ,A,5,30
4950,Concurso 354 (16/03/2009),9,3,TIME NEGRA/PA, ,PAYSANDU/PA,3,Domingo ,D,0,21
4951,Concurso 354 (16/03/2009),10,0,GUARANI/MG, ,ATLÉTICO/MG,1,Sábado ,A,6,24
4952,Concurso 354 (16/03/2009),11,1,ITUMBIARA/GO, ,MINEIROS/GO,1,Domingo ,D,14,0
4953,Concurso 354 (16/03/2009),12,0,BOAVISTA/RJ, ,VASCO DA GAMA/RJ,1,Domingo ,A,3,19
4954,Concurso 354 (16/03/2009),13,0,SÃO CAETANO/SP, ,PORTUGUESA DESPORTOS/SP,1,Sábado ,A,33,22
4955,Concurso 354 (16/03/2009),14,3,PALMEIRAS/SP, ,BARUERI/SP,0,Sábado ,H,42,14
4956,Concurso 355 (23/03/2009),1,2,VASCO DA GAMA/RJ, ,FLAMENGO/RJ,0,Domingo ,H,38,27
4957,Concurso 355 (23/03/2009),2,1,CORINTHIANS/SP, ,SANTOS/SP,0,Domingo ,H,35,12
4958,Concurso 355 (23/03/2009),3,0,BAHIA/BA, ,VITÓRIA/BA,0,Domingo ,D,28,18
4959,Concurso 355 (23/03/2009),4,2,CEARÁ/CE, ,FORTALEZA/CE,1,Domingo ,H,30,17
4960,Concurso 355 (23/03/2009),5,1,RIO BRANCO/MG, ,CRUZEIRO/MG,1,Domingo ,D,4,29
4961,Concurso 355 (23/03/2009),6,2,PARANAVAÍ/PR, ,ATLÉTICO/PR,1,Domingo ,H,3,15
4962,Concurso 355 (23/03/2009),7,0,BRASIL/RS, ,JUVENTUDE/RS,0,Sábado ,D,9,20
4963,Concurso 355 (23/03/2009),8,2,CHAPECOENSE/SC, ,FIGUEIRENSE/SC,2,Domingo ,D,25,21
4964,Concurso 355 (23/03/2009),9,0,ATLÉTICO/GO, ,GOIÁS/GO,2,Domingo ,A,29,31
4965,Concurso 355 (23/03/2009),10,3,CENTRAL/PE, ,NÁUTICO/PE,2,Domingo ,H,4,20
4966,Concurso 355 (23/03/2009),11,1,BANGU/RJ, ,FLUMINENSE/RJ,3,Sábado ,A,6,31
4967,Concurso 355 (23/03/2009),12,0,ITUANO/SP, ,PORTUGUESA DESPORTOS/SP,2,Domingo ,A,26,21
4968,Concurso 355 (23/03/2009),13,1,PAULISTA/SP, ,SÃO PAULO/SP,1,Domingo ,D,32,29
4969,Concurso 355 (23/03/2009),14,1,PAYSANDU/PA, ,REMO/PA,0,Domingo ,H,31,30
4970,Concurso 356 (30/03/2009),1,1,SÃO PAULO/SP, ,PALMEIRAS/SP,0,Sábado ,H,36,23
4971,Concurso 356 (30/03/2009),2,2,FLUMINENSE/RJ, ,BOTAFOGO/RJ,1,Sábado ,H,26,24
4972,Concurso 356 (30/03/2009),3,3,JUVENTUDE/RS, ,INTERNACIONAL/RS,3,Sábado ,D,26,19
4973,Concurso 356 (30/03/2009),4,0,BAHIA/BA, ,FLUMINENSE/BA,0,Sábado ,D,25,4
4974,Concurso 356 (30/03/2009),5,1,SANTA CRUZ/PE, ,NÁUTICO/PE,3,Domingo ,A,30,21
4975,Concurso 356 (30/03/2009),6,3,ITUMBIARA/GO, ,CRAC/GO,0,Sábado ,H,15,7
4976,Concurso 356 (30/03/2009),7,2,ITAPIPOCA/CE, ,FORTALEZA/CE,4,Sábado ,A,2,18
4977,Concurso 356 (30/03/2009),8,4,CEARÁ/CE, ,GUARANI/CE,3,Sábado ,H,31,0
4978,Concurso 356 (30/03/2009),9,1,SÃO RAIMUNDO/PA, ,PAYSANDU/PA,2,Sábado ,A,6,24
4979,Concurso 356 (30/03/2009),10,3,BOAVISTA/RJ, ,MADUREIRA/RJ,1,Sábado ,H,3,7
4980,Concurso 356 (30/03/2009),11,3,VOLTA REDONDA/RJ, ,VASCO DA GAMA/RJ,5,Sábado ,A,14,20
4981,Concurso 356 (30/03/2009),12,6,BRAGANTINO/SP, ,SÃO CAETANO/SP,1,Sábado ,H,13,22
4982,Concurso 356 (30/03/2009),13,0,BARUERI/SP, ,SANTOS/SP,0,Sábado ,D,26,11
4983,Concurso 356 (30/03/2009),14,0,GUARANI/SP, ,CORINTHIANS/SP,0,Sábado ,D,30,33
4984,Concurso 357 (06/04/2009),1,1,FLAMENGO/RJ, ,FLUMINENSE/RJ,1,Domingo ,D,37,32
4985,Concurso 357 (06/04/2009),2,2,PONTE PRETA/SP, ,SANTOS/SP,3,Domingo ,A,38,9
4986,Concurso 357 (06/04/2009),3,1,VILA NOVA/GO, ,ITUMBIARA/GO,1,Domingo ,D,30,3
4987,Concurso 357 (06/04/2009),4,5,BRASILIENSE/DF, ,DOM PEDRO/DF,0,Sábado ,H,33,1
4988,Concurso 357 (06/04/2009),5,1,HORIZONTE/CE, ,FORTALEZA/CE,1,Domingo ,D,4,22
4989,Concurso 357 (06/04/2009),6,1,FERROVIÁRIO/CE, ,MARANGUAPE/CE,1,Domingo ,D,9,6
4990,Concurso 357 (06/04/2009),7,2,ANÁPOLIS/GO, ,MINEIROS/GO,1,Domingo ,H,5,1
4991,Concurso 357 (06/04/2009),8,0,MADUREIRA/RJ, ,FRIBURGUENSE/RJ,2,Domingo ,A,16,7
4992,Concurso 357 (06/04/2009),9,4,VASCO DA GAMA/RJ, ,BANGU/RJ,0,Domingo ,H,37,12
4993,Concurso 357 (06/04/2009),10,1,BRAGANTINO/SP, ,GUARANI/SP,0,Domingo ,H,19,23
4994,Concurso 357 (06/04/2009),11,2,MIRASSOL/SP, ,CORINTHIANS/SP,2,Domingo ,D,4,30
4995,Concurso 357 (06/04/2009),12,2,PORTUGUESA DESPORTOS/SP, ,SANTO ANDRÉ/SP,1,Domingo ,H,31,24
4996,Concurso 357 (06/04/2009),13,2,SÃO CAETANO/SP, ,SÃO PAULO/SP,2,Domingo ,D,33,29
4997,Concurso 357 (06/04/2009),14,2,SPORT/PE, ,SANTA CRUZ/PE,1,Domingo ,H,35,13
4998,Concurso 358 (13/04/2009),1,1,FLAMENGO/RJ, ,FLUMINENSE/RJ,0,Domingo ,H,38,30
4999,Concurso 358 (13/04/2009),2,2,CORINTHIANS/SP, ,SÃO PAULO/SP,1,Domingo ,H,36,29
5000,Concurso 358 (13/04/2009),3,1,CRAC/GO, ,GOIÁS/GO,3,Domingo ,A,13,31
5001,Concurso 358 (13/04/2009),4,2,CORITIBA/PR, ,PARANÁ/PR,0,Sábado ,H,32,18
5002,Concurso 358 (13/04/2009),5,1,JOINVILLE/SC, ,AVAÍ/SC,0,Domingo ,H,38,35
5003,Concurso 358 (13/04/2009),6,2,CHAPECOENSE/SC, ,CRICIÚMA/SC,1,Domingo ,H,27,17
5004,Concurso 358 (13/04/2009),7,3,ATLÉTICO/BA, ,VITÓRIA/BA,2,Domingo ,H,0,18
5005,Concurso 358 (13/04/2009),8,0,PORTO/PE, ,NÁUTICO/PE,1,Domingo ,A,2,24
